name_match,feh,err_feh
TW_Lyn,-1.23,0.25
Y_Lyr,-1.03,0.07
RR_Lyr,-1.37,0.08
RZ_Lyr,-2.13,0.18
CN_Lyr,-0.26,0.07
CX_Lyr,-1.79,0.07
FN_Lyr,-2.01,0.07
IO_Lyr,-1.52,0.11
KX_Lyr,-0.46,0.20
LX_Lyr,-1.42,0.47
NR_Lyr,-2.42,0.27
T_Men,-0.85,0.24
RX_Men,-1.54,0.11
TX_Men,-2.48,0.11
UU_Men,-1.09,0.15
Z_Mic,-1.28,0.20
XZ_Mic,-1.22,0.15
EM_Mus,-1.55,0.22
Y_Oct,-1.52,0.10
RS_Oct,-1.60,0.11
RV_Oct,-1.34,0.25
RY_Oct,-1.83,0.11
SS_Oct,-1.60,0.11
UV_Oct,-1.61,0.11
UW_Oct,-0.49,0.11
XZ_Oct,-1.76,0.10
AR_Oct,-0.51,0.18
ST_Oph,-1.30,0.13
V413_Oph,-1.00,0.15
V445_Oph,-0.23,0.39
V452_Oph,-1.72,0.07
V455_Oph,-1.42,0.07
V784_Oph,-1.80,0.11
V816_Oph,-0.96,0.15
V1023_Oph,-1.21,0.11
V964_Ori,-1.89,0.13
TX_Pav,-0.37,0.46
TY_Pav,-2.31,0.22
WY_Pav,-0.98,0.37
BH_Pav,-1.60,0.41
BN_Pav,-1.32,0.15
BP_Pav,-1.48,0.12
DN_Pav,-1.54,0.21
HV_Pav,-1.64,0.15
VV_Peg,-1.88,0.10
AE_Peg,-1.84,0.08
AV_Peg,-0.14,0.22
BH_Peg,-1.38,0.21
CG_Peg,-0.48,0.07
DZ_Peg,-1.52,0.18
GV_Peg,-1.99,0.07
AR_Per,-0.43,0.13
TZ_Phe,-1.29,0.14
U_Pic,-0.73,0.23
RY_Psc,-1.39,0.09
BB_Pup,-0.57,0.17
HH_Pup,-0.69,0.17
V_Ret,-1.79,0.11
X_Ret,-1.32,0.10
V440_Sgr,-1.47,0.11
V796_Sgr,-1.87,0.67
V1130_Sgr,-1.70,0.11
V1644_Sgr,-2.51,0.35
V1645_Sgr,-1.74,0.23
V1646_Sgr,-1.41,0.13
V2279_Sgr,-1.16,0.11
V765_Sco,-1.18,0.25
RU_Scl,-1.25,0.13
UZ_Scl,-1.14,0.45
VX_Scl,-2.25,0.11
WY_Scl,-1.51,0.39
AE_Scl,-1.89,0.09
VY_Ser,-1.82,0.23
AN_Ser,-0.04,0.21
AR_Ser,-1.78,0.11
AT_Ser,-2.05,0.09
AV_Ser,-1.20,0.11
AW_Ser,-1.67,0.20
BH_Ser,-1.59,0.08
CS_Ser,-1.57,0.15
DF_Ser,-0.74,0.15
RV_Sex,-1.10,0.17
SS_Tau,-0.28,0.14
BI_Tel,-1.96,0.29
HH_Tel,-1.02,0.14
HY_Tel,-0.17,0.23
U_Tri,-0.79,0.08
RW_TrA,0.07,0.13
W_Tuc,-1.64,0.17
YY_Tuc,-1.82,0.16
AE_Tuc,-0.80,0.27
AG_Tuc,-1.95,0.10
BK_Tuc,-1.82,0.39
RV_UMa,-1.19,0.16
TU_UMa,-1.44,0.16
AB_UMa,-0.72,0.59
FS_Vel,-1.17,0.20
ST_Vir,-0.88,0.11
UU_Vir,-0.82,0.20
UV_Vir,-1.19,0.15
WW_Vir,-2.13,0.21
WY_Vir,-2.84,0.22
AD_Vir,-1.15,0.11
AE_Vir,-1.16,0.25
AF_Vir,-1.46,0.37
AM_Vir,-1.45,0.11
AS_Vir,-1.49,0.16
AT_Vir,-1.91,0.21
AV_Vir,-1.32,0.30
BQ_Vir,-1.32,0.27
DO_Vir,-0.80,0.15
FU_Vir,-1.17,0.09
SV_Vol,-2.18,0.11
FH_Vul,-0.85,0.25
FK_Vul,-0.95,0.58
